date,shift,pump,pump_info,events,seal_failure,low_level,pump_swap,startup,shutdown,trip_fault,low_pressure,oil_lubrication,steam_issue,strainer_clean,maintenance_pm,vibration
03-03-2025,Night,P-213B,Bin # 11 P-213 A/B,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-03-2025,Night,P-214A,Bin 2   P-214-A,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-03-2025,Night,P-215B,Bin #2 P-215,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-03-2025,Night,P-216A,1735 Brown and Root P-216A case drain work | 2030 Brown and Root P-216A build scaffold | #34 : P-216A,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-03-2025,Night,P-216B,1: P-216B,[],0,0,0,0,0,0,0,0,0,0,0,0
03-03-2025,Night,P-669B,P669B were good throughout the night,[],0,0,0,0,0,0,0,0,0,0,0,0
03-04-2025,Day,P-1B,"Turner pulled P-1B suction expansion joint, & dropped in new expansion joint",[],0,0,0,0,0,0,0,0,0,0,0,0
03-04-2025,Day,P-70B,07:23 P-70B Online | 08:20 P-70B Offline,"['startup', 'shutdown']",0,0,0,1,1,0,0,0,0,0,0,0
03-04-2025,Day,P-216A,B&R worked on P-216A case drains,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-04-2025,Night,P-1B,2: P-1B,[],0,0,0,0,0,0,0,0,0,0,0,0
03-04-2025,Night,P-15B,Bin #7 P-15B,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-04-2025,Night,P-15C,Bin #1 P-15 C,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-04-2025,Night,P-35A,Bin 5  P-35-A,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-04-2025,Night,P-35B,Bin # 1  P-35-B,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-04-2025,Night,P-36A,Bin 4  P-36-A,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-04-2025,Night,P-37A,Bin # 14 P-37 A/B,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-04-2025,Night,P-37B,Bin # 14 P-37 A/B,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-04-2025,Night,P-41B,Bin #3 P-41B (main sat box T and I Bin #24),['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-04-2025,Night,P-212A,Bin 1   P-212-A,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-04-2025,Night,P-213A,Bin # 11 P-213 A/B,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-04-2025,Night,P-213B,Bin # 11 P-213 A/B,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
